,review,timestamp,rating,username
32,,sebulan yang lalu,5.0,Laksana Matahari
33,Royal choco  favorit batss,sebulan yang lalu,5.0,Ayu Wardani
34,"menunya lengkap mantap, tempatnya keren puoll☺️",sebulan yang lalu,5.0,Tan Tan
35,"tempatnya cozy, menunya enak semua huhu😭❤️ highly recommended ✨🕊️",sebulan yang lalu,5.0,Oktaviana Dwi Briliani
36,Tempat ok pelayanan ramah..  Untuk tempat baru sih menurut aku nyaman ya buat sekedar kopdar..  👍👍👍,sebulan yang lalu,5.0,bhiee queen
37,Barista gondrong brewok estethic :*,sebulan yang lalu,5.0,Zauvik Rizaldi Ma`ruf
38,Tempat nya bagus makanan juga enak untuk minuman worth it,sebulan yang lalu,5.0,Ryan Irwansyah
39,,sebulan yang lalu,5.0,tsanikar
40,"Minumannya enak, variannya banyak, tempatnya nyaman senyaman aku disampingnya dia",sebulan yang lalu,5.0,Aryo B N
41,,sebulan yang lalu,5.0,Triana Meci Mantika
42,,sebulan yang lalu,5.0,teguh ramadhan
43,Tempat nya nyaman buat nongkrong.. Apalagi menu minuman nya nyegerin banget.. Bikin nagih lahh😘😍😍,sebulan yang lalu,5.0,aska oktaQ
44,Mantaff cyin....😁,sebulan yang lalu,5.0,eko wijayanto
45,,sebulan yang lalu,5.0,ervina septiani
46,,sebulan yang lalu,5.0,Dina Pangesti
47,,sebulan yang lalu,5.0,Idaa Purnama
48,Kopinya enak banget broo udah kaya kedai kopi terkenal di Jakarta,sebulan yang lalu,5.0,muhammad fuad abdillah
49,Minuman favorit yg jadi bikin nagih tiap hari. Apalagi tempatnya enak bgt buat nongkrong. Mantap!,sebulan yang lalu,5.0,muhammad januar
50,,sebulan yang lalu,5.0,Faizal Reza Nurzeha
51,(Diterjemahkan oleh Google) Ovaltine Macchiatto 💚  (Asli) Ovaltine Macchiatto 💚,sebulan yang lalu,5.0,shabrina anita
52,"Tempat nyaman, varian banyaak banget, dan enak",sebulan yang lalu,5.0,masterate22
53,(Diterjemahkan oleh Google) tempat yang bagus dan minuman yang enak  (Asli) good place and nice drink,sebulan yang lalu,5.0,dewa arsistha
